Feature,Importance
Stability_time_total_exposure,0.10033877
Perovskite_dimension_3D_with_2D_capping_layer,0.063105434
Perovskite_composition_inorganic,0.061196174
Perovskite_deposition_number_of_deposition_steps,0.03769599
JV_default_Jsc_scan_direction,0.03263218
Cell_stack_sequence,0.032552004
Backcontact_stack_sequence,0.029843448
JV_scan_speed,0.028004214
HTL_stack_sequence,0.024912326
Perovskite_deposition_procedure,0.024851633
Substrate_stack_sequence,0.024105633
Perovskite_composition_short_form,0.023216214
JV_forward_scan_FF,0.02214301
Perovskite_composition_long_form,0.020507686
Encapsulation,0.020391794
Perovskite_band_gap_estimation_basis,0.019801727
JV_measured,0.019028705
Perovskite_deposition_thermal_annealing_time,0.018876677
Perovskite_deposition_synthesis_atmosphere,0.01658885
Perovskite_additives_compounds,0.015989104
ETL_deposition_procedure,0.015221931
JV_forward_scan_PCE,0.015109908
JV_forward_scan_Voc,0.015015371
Perovskite_band_gap,0.014556707
JV_average_over_n_number_of_cells,0.0144471135
Perovskite_pl_max,0.014284683
Stability_relative_humidity_average_value,0.01388102
JV_test_atmosphere,0.013484001
ETL_stack_sequence,0.013403951
Perovskite_deposition_solvents_mixing_ratios,0.0132796345
ETL_thickness,0.0131829055
HTL_additives_compounds,0.0127887875
JV_default_PCE_scan_direction,0.012254008
Perovskite_thickness,0.012214608
Perovskite_deposition_quenching_media,0.011965203
JV_reverse_scan_FF,0.0118501
JV_default_FF,0.011295528
JV_default_Jsc,0.011178127
Cell_area_measured,0.010632094
Perovskite_deposition_thermal_annealing_temperature,0.010612558
JV_forward_scan_Jsc,0.010094426
JV_reverse_scan_Voc,0.010048433
JV_reverse_scan_Jsc,0.010044369
Perovskite_composition_a_ions_coefficients,0.009587636
Backcontact_thickness_list,0.009579545
Perovskite_composition_a_ions,0.008478301
Perovskite_composition_c_ions_coefficients,0.0075394604
JV_default_Voc_scan_direction,0.007246382
JV_default_PCE,0.005995566
Perovskite_deposition_aggregation_state_of_reactants,0.0054048216
Perovskite_deposition_solvents,0.0053610685
JV_reverse_scan_PCE,0.0048053027
JV_default_Voc,0.004041396
Perovskite_composition_c_ions,0.0033837466
Perovskite_deposition_quenching_induced_crystallisation,0.0012111194
JV_default_FF_scan_direction,0.0007386431
Perovskite_dimension_3D,0.0
Module_number_of_cells_in_module,0.0
JV_light_intensity,0.0
JV_light_masked_cell,0.0
JV_light_wavelength_range,0.0
JV_light_spectra,0.0
Perovskite_single_crystal,0.0
Backcontact_deposition_procedure,0.0
Perovskite_dimension_0D,0.0
HTL_deposition_procedure,0.0
Perovskite_dimension_2D,0.0
Perovskite_dimension_2D3D_mixture,0.0
Perovskite_dimension_list_of_layers,0.0
Perovskite_composition_perovskite_ABC3_structure,0.0
Cell_flexible,0.0
Perovskite_composition_b_ions_coefficients,0.0
Cell_semitransparent,0.0
Module,0.0
Perovskite_composition_leadfree,0.0
Perovskite_band_gap_graded,0.0
Cell_number_of_cells_per_substrate,0.0
Add_lay_back,0.0
Perovskite_deposition_solvent_annealing,0.0
Perovskite_composition_b_ions,0.0
Add_lay_front,0.0
Perovskite_composition_perovskite_inspired_structure,0.0
Cell_architecture,0.0
