Architecture,Model,Task,R2,RMSE,Accuracy,F1
NIP,RF,Regression,0.7847869126681656,319.500417789224,,
NIP,RF,Classification,,,0.84251968503937,0.849624060150376
NIP,XGB,Regression,0.54404616355896,465.047729405273,,
NIP,XGB,Classification,,,0.8818897637795275,0.8880597014925373
NIP,ANN,Regression,0.6910247802734375,382.8238212611645,,
NIP,ANN,Classification,,,0.5,0.0
NIP,CNN,Regression,0.7381426095962524,352.42725313176334,,
NIP,CNN,Classification,,,0.49606299212598426,0.6613756613756614
PIN,RF,Regression,0.261583024055141,249.11205901791462,,
PIN,RF,Classification,,,0.868421052631579,0.8598130841121495
PIN,XGB,Regression,0.17260372638702393,263.6942772890606,,
PIN,XGB,Classification,,,0.8070175438596491,0.7962962962962963
PIN,ANN,Regression,-0.19445979595184326,316.83246755974994,,
PIN,ANN,Classification,,,0.4473684210526316,0.6181818181818182
PIN,CNN,Regression,-0.5963417291641235,366.27465787302293,,
PIN,CNN,Classification,,,0.5526315789473685,0.0
